model,concurrency,offload_gb,run_id,run_median_tpot_ms,cell_median_tpot_ms
llama,8,8,5,949.1909422539763,949.1693277460212
llama,8,12,1,1406.760724968268,1406.732058642875
llama,8,12,2,1406.5297713968323,1406.732058642875
llama,8,12,3,1406.8052767143522,1406.732058642875
llama,8,12,4,1406.6467455952425,1406.732058642875
llama,8,12,5,1406.732058642875,1406.732058642875
llama,8,16,1,1485.1149655555455,1485.059386865061
llama,8,16,2,1484.6898778015736,1485.059386865061
llama,8,16,3,1484.94103894443,1485.059386865061
llama,8,16,4,1485.059386865061,1485.059386865061
llama,8,16,5,1485.1223966269904,1485.059386865061
qwen,4,0,1,19.351762158734463,19.347508698411545
qwen,4,0,2,19.347655841271724,19.347508698411545
qwen,4,0,3,19.32880651587232,19.347508698411545
qwen,4,0,4,19.347508698411545,19.347508698411545
qwen,4,0,5,19.339750444444128,19.347508698411545
qwen,4,2,1,278.4035690079431,277.7407393809448
qwen,4,2,2,277.3974271746001,277.7407393809448
qwen,4,2,3,277.7407393809448,277.7407393809448
qwen,4,2,4,277.92883352380414,277.7407393809448
qwen,4,2,5,277.3551235396798,277.7407393809448
qwen,4,4,1,540.0634591269842,539.2898987698456
qwen,4,4,2,539.2898987698456,539.2898987698456
qwen,4,4,3,539.2311256349179,539.2898987698456
qwen,4,4,4,539.2180889761842,539.2898987698456
qwen,4,4,5,540.1525051269822,539.2898987698456
qwen,4,8,1,1015.8768973174914,1015.8175717777568
qwen,4,8,2,1015.831559801593,1015.8175717777568
qwen,4,8,3,1015.7402334127314,1015.8175717777568
qwen,4,8,4,1015.7206222698618,1015.8175717777568
qwen,4,8,5,1015.8175717777568,1015.8175717777568
qwen,4,12,1,1485.338115730147,1484.9499347539736
qwen,4,12,2,1484.9499347539736,1484.9499347539736
qwen,4,12,3,1485.027996484138,1484.9499347539736
qwen,4,12,4,1482.8223282777817,1484.9499347539736
qwen,4,12,5,1482.9151867301885,1484.9499347539736
qwen,4,16,1,1478.8287554444346,1478.869312238073
qwen,4,16,2,1479.7703182381183,1478.869312238073
qwen,4,16,3,1478.893703341248,1478.869312238073
qwen,4,16,4,1478.6936783650797,1478.869312238073
qwen,4,16,5,1478.869312238073,1478.869312238073
qwen,8,0,1,19.72031553174337,19.710442428572968
qwen,8,0,2,19.719661166665528,19.710442428572968
qwen,8,0,3,19.705085134918345,19.710442428572968
qwen,8,0,4,19.710214634923908,19.710442428572968
qwen,8,0,5,19.710442428572968,19.710442428572968
qwen,8,2,1,279.2584085079455,279.2872475158782
qwen,8,2,2,279.2872475158782,279.2872475158782
qwen,8,2,3,279.3397682619018,279.2872475158782
qwen,8,2,4,279.27348685713537,279.2872475158782
qwen,8,2,5,279.30113668255564,279.2872475158782
qwen,8,4,1,542.0951495555471,542.1348129999922
qwen,8,4,2,542.2212228095233,542.1348129999922
qwen,8,4,3,542.2132017777744,542.1348129999922
qwen,8,4,4,542.0544125952382,542.1348129999922
qwen,8,4,5,542.1348129999922,542.1348129999922
qwen,8,8,1,1019.1152076269703,1019.0932704127114
qwen,8,8,2,1019.0987526507272,1019.0932704127114
qwen,8,8,3,1018.989458634938,1019.0932704127114
qwen,8,8,4,1019.0932704127114,1019.0932704127114
qwen,8,8,5,1018.9086586507896,1019.0932704127114
qwen,8,12,1,1490.092400420638,1490.1567131983895
qwen,8,12,2,1490.2281858015892,1490.1567131983895
qwen,8,12,3,1490.1567131983895,1490.1567131983895
qwen,8,12,4,1489.997989515865,1490.1567131983895
qwen,8,12,5,1490.1863792381066,1490.1567131983895
qwen,8,16,1,1484.7392765238064,1484.718692999989
qwen,8,16,2,1484.4757127380972,1484.718692999989
qwen,8,16,3,1484.4243244603445,1484.718692999989
qwen,8,16,4,1484.7328924444437,1484.718692999989
qwen,8,16,5,1484.718692999989,1484.718692999989
